Player,Team,Overall_Rating,data_provider_id,Athleticism_Rating,Kicking_Rating,Marking_Rating,Handballing_Rating,Tackling & Pressure_Rating,Hit-Ups & Groundball_Rating,Ruck_Rating
Touk Miller,Gold Coast,2.75,T.Miller 22/2/1996,,,,,,,
Ned Moyle,Gold Coast,,,,,,,,,
Jai Murray,Gold Coast,,,,,,,,,
John Noble,Gold Coast,2.76,J.Noble 25/3/1997,,,,,,,
Dylan Patterson,Gold Coast,,,,,,,,,
Christian Petracca,Gold Coast,2.76,C.Petracca 4/1/1996,,,,,,,
Wil Powell,Gold Coast,2.85,W.Powell 26/8/1999,,,,,,,
Ethan Read,Gold Coast,,,,,,,,,
Daniel Rioli,Gold Coast,2.68,D.Rioli 16/4/1997,,,,,,,
Jake Rogers,Gold Coast,,,,,,,,,
Matt Rowell,Gold Coast,3.3,M.Rowell 1/7/2001,,,,,,,
Avery Thomas,Gold Coast,,,,,,,,,
Jamarra Ugle-Hagan,Gold Coast,,,,,,,,,
Bodhi Uwland,Gold Coast,2.71,B.Uwland 25/7/2003,,,,,,,
Zeke Uwland,Gold Coast,,,,,,,,,
Jed Walter,Gold Coast,,,,,,,,,
Lachlan Weller,Gold Coast,,,,,,,,,
Jarrod Witts,Gold Coast,2.74,J.Witts 13/9/1992,,,,,,,
Leek Aleer,GWS Giants,2.4,L.Aleer 21/8/2001,,,,,,,
Cody Angove,GWS Giants,1.99,C.Angove 28/5/2006,,,,,,,
Ryan Angwin,GWS Giants,2.84,R.Angwin 12/12/2002,,,,,,,
Lachlan Ash,GWS Giants,,,,,,,,,
Toby Bedford,GWS Giants,2.01,T.Bedford 27/5/2000,,,,,,,
Kieren Briggs,GWS Giants,2.35,K.Briggs 6/10/1999,,,,,,,
Callum Brown,GWS Giants,2.71,C.Brown 15/8/2000,,,,,,,
Jack Buckley,GWS Giants,2.78,J.Buckley 17/12/1997,,,,,,,
Aaron Cadman,GWS Giants,2.62,A.Cadman 3/3/2004,,,,,,,
Finn Callaghan,GWS Giants,2.97,F.Callaghan 26/4/2003,,,,,,,
Stephen Coniglio,GWS Giants,2.06,S.Coniglio 15/12/1993,,,,,,,
Brent Daniels,GWS Giants,2.45,B.Daniels 9/3/1999,,,,,,,
Finnegan Davis,GWS Giants,,,,,,,,,
