MatchId,Player,Team,CoachesVotes,RatingPoints,EstimatedRating,Equity_PreClearance,Equity_PostClearance,Equity_Possession,Equity_BallUse,Supercoach,DreamTeamPoints,ExpVotes,Votes3,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,AssistedMetresGained,Inside50s,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,HandballReceives,Intercepts,CentreBounceAttendancePercentage,TotalClearances,Marks,InterceptMarks,ContestedMarks,ShotsAtGoal,Goals,Behinds,xScore,xScoreRating,GoalAssists,ScoreInvolvements,ScoreLaunches,Tackles,PressureActs,Hitouts,Round
20260001,Patrick Cripps,Carlton,0.0,8.9,13.8,4.8,-1.0,5.1,1.5,60,57,0.0,0.0,80,8,11,19,73.7,186,203,2,10,7,3,2,6,0,62,4,2,0,0,2,0,1,3.2,-2.2,0,4,1,3,20,0,0
20260001,Sam Walsh,Carlton,3.0,15.7,12.21,4.6,3.9,7.7,0.6,114,99,0.22,1.0,77,16,16,32,65.6,696,253,9,13,9,3,3,15,3,84,6,3,1,0,1,0,0,2.6,-2.6,0,8,2,2,19,0,0
20260001,Will Hayward,Carlton,0.0,6.0,7.37,0.0,4.1,2.3,2.1,53,58,0.0,0.0,75,9,2,11,54.5,223,22,1,3,3,3,3,5,0,0,0,3,0,0,3,1,2,8.3,-0.3,0,4,0,3,9,0,0
20260001,Zac Williams,Carlton,0.0,14.9,10.55,4.8,8.2,10.2,4.8,82,50,0.0,0.0,79,10,6,16,62.5,257,183,3,12,9,6,4,6,7,16,6,1,1,0,1,0,1,2.0,-1.0,0,3,2,3,21,0,0
20260005,Beau McCreery,Collingwood,0.0,13.5,8.85,0.7,9.3,2.2,7.4,60,68,0.05,0.0,78,10,6,16,68.8,368,92,5,2,1,1,1,6,1,38,1,4,0,0,3,2,1,9.1,3.9,0,5,1,1,29,0,0
20260005,Billy Frampton,Collingwood,0.0,5.8,7.66,0.0,6.2,4.9,1.9,81,79,0.01,0.0,100,14,5,19,89.5,239,227,0,4,3,4,3,2,7,0,0,13,2,0,0,0,0,0.0,0.0,0,4,1,0,5,0,0
20260005,Brayden Maynard,Collingwood,0.0,11.8,9.33,0.0,7.7,8.3,0.8,128,119,0.08,0.0,87,18,9,27,85.2,436,208,1,9,8,9,8,5,9,0,0,13,1,1,1,0,1,1.2,-0.2,0,5,2,4,11,0,0
20260005,Dan Houston,Collingwood,2.0,6.9,9.81,1.3,3.5,4.1,0.3,94,120,0.21,0.0,81,21,7,28,75.0,629,198,2,2,2,1,1,8,4,0,1,11,2,0,1,0,1,3.3,-2.3,0,4,1,3,9,0,0
20260005,Daniel McStay,Collingwood,0.0,5.9,7.06,0.5,5.5,1.9,4.3,39,32,0.0,0.0,78,2,4,6,66.7,42,45,0,3,1,0,0,1,0,0,1,1,0,0,1,1,0,2.0,4.0,0,2,0,2,7,1,0
20260005,Darcy Cameron,Collingwood,0.0,14.8,12.79,3.6,8.8,8.7,4.2,107,112,0.08,0.0,87,12,7,19,73.7,153,216,0,13,4,6,2,1,7,83,5,5,2,2,1,1,0,3.4,2.6,0,5,3,6,10,20,0
20260005,Edward Allan,Collingwood,0.0,2.9,8.22,0.5,0.9,2.2,0.0,35,38,0.0,0.0,64,4,6,10,70.0,129,112,2,4,3,3,2,4,3,0,1,3,0,0,0,0,0,0.0,0.0,0,2,0,2,12,0,0
20260005,Harry Perryman,Collingwood,0.0,5.8,8.35,1.7,2.7,2.8,2.6,63,80,0.04,0.0,81,15,7,22,59.1,301,131,2,5,4,4,4,10,2,62,2,5,0,0,0,0,0,0.0,0.0,0,4,2,3,13,0,0
20260005,Isaac Quaynor,Collingwood,2.0,9.9,8.19,1.1,8.3,5.1,3.3,90,95,0.1,0.0,86,15,8,23,91.3,250,363,0,5,3,4,2,5,9,0,1,11,3,1,0,0,0,0.0,0.0,0,7,2,0,6,0,0
